x,Amplitude
-387838.7838783878,0.0018439911364797655
-387758.77587758773,0.0018214704515776459
-387678.7678767877,0.001799081832952968
-387598.7598759876,0.0017768251201349288
-387518.7518751875,0.0017547006932341622
-387438.74387438747,0.001732708576943863
-387358.7358735874,0.0017108489960028803
-387278.7278727873,0.0016891221135598945
-387198.7198719872,0.0016675280684649025
-387118.71187118714,0.0016460669975122875
-387038.70387038705,0.0016247390605073633
-386958.69586958695,0.0016035443003026128
-386878.68786878686,0.0015824828564313278
-386798.6798679868,0.0015615551169791072
-386718.6718671867,0.0015407608848867671
-386638.66386638663,0.0015201005434640953
-386558.65586558654,0.0014995739900164826
-386478.6478647865,0.0014791816709910466
-386398.6398639864,0.001458923649371955
-386318.6318631863,0.0014387998294044598
-386238.6238623862,0.0014188103732776492
-386158.6158615862,0.0013989558081173026
